sentence,label,gpt4_response,gpt4_keyword
4月19日，东城区中学选科、排课研讨会在北京市第二中学举行，全区各中学教学副校长、教师代表80余人参会。北京市第五中学、第五十五中学、第二中学教学干部分别介绍各校前期选科、排课工作，就前期工作中遇到的问题、困惑及思考交流发言。发言围绕新中、高考背景下选科、排课的形势，从学校的育人目标、生源构成、硬件条件等方面对学校自身情况进行剖析，对选课走班的形式、排课、成绩管理、教学评价、走班排考、考勤管理等工作提出策略、建议。会上，参会人员交流互动，就各自遇到的问题和困惑进行研讨。当前是新中、高考改革的关键期，组织学生选科、做好排课是应对改革的重要工作之一，区教委今后将设计问卷调查各校需求，尽快完成区域整体政策配套。会议要求，各校要做好相应准备工作，提前规划，着手对干部教师进行通识培训，共同迎接新中、高考改革。,0-4:time;6-18:name;20-26:sponsor;45-48:scale,"name: 东城区中学选科、排课研讨会
participant: 全区各中学教学副校长、教师代表80余人
summary: 无
sub_forum: 无
paper: 无
invites: 无
time: 4月19日
sponsor: 东城区教委
standpoint: 从学校的育人目标、生源构成、硬件条件等方面对学校自身情况进行剖析，对选课走班的形式、排课、成绩管理、教学评价、走班排考、考勤管理等工作提出策略、建议
purpose: 组织学生选科、做好排课是应对改革的重要工作之一，区教委今后将设计问卷调查各校需求，尽快完成区域整体政策配套
scale: 80余人
spokesman: 北京市第五中学、第五十五中学、第二中学教学干部
prize: 无
theme: 选科、排课工作
","""选科；排课；教学评价；新中、高考改革；"""
2017年7月18日（中新网），首届北京市校园足球特色校校长论坛召开，来自全市264所的中小学足球特色小校长和各区县相关负责人参加。当前，的发展已然成为中国运动发展的核心和基础。为推进足球学校发展，今天，市校园足球校在北京体育大学举行，旨在让各位与会在交流中更加明确开展校园足球工作的思路与方向，更加坚定北京足球特色校作为全国性引领与示范的重要地位。来自北京市264所的中小学足球特色校校长和17区教委主管主任出席北京市校园足球特色校校长。记者从论坛上了解到，北京市重视校园足球工作的发展，2015年以来，成立了青少年校园足球工作领导小组，领导小组办公室设在市教委，同时还率先成立了全国第一个校园足球协会、校园足球通讯社和校园足球文化发展与传播中心等机构和部门，建立了264所全国和北京市校园足球特色学校，并下发了《关于加快发展北京市青少年校园足球工作的实施意见(2016-2020)》，为发展校园足球奠定了坚实基础。论坛上，中关村第三小学副校长郭金贵表示，目前，“校园足球”缺乏社会的关注，这将阻碍青少年足球的普及力度，尤其是一些家长只注重孩子的学习成绩。该校为了加强足球工作，成立了校园足球领导小组，开展丰富多彩的校园足球活动和比赛，取得了明显效果。北京第二实验小学平谷分校校长周玉江介绍，该校不仅加强足球师资队伍建设，像国安足球俱乐部派出专业足球教练3人担任专职体育老师，还研发足球校本课程，创编足球游戏，推广普及足球知识。八一学校体育中心主任戴为表示，该校开展校园足球运动可以追溯到上世纪五、六十年代，且学校在1979年就被命名为北京足球传统学校，这些年来培养了大批的足球人才。“兴趣是最好的老师，”该校通过多元体验开阔学生视野，通过自主选择发现、培养兴趣。同时，建立俱乐部联赛机制，以赛促学，以赛代训，自我提升。论坛上，多所学校校长介绍各自学校在开展校园足球方面的实践成果和经验，以及交流遇到的困惑。北京市教育部门相关负责人指出，北京市校园足球特色校在开展校园足球工作中，主要围绕以足球文化带动足球发展的思路，在文化活动中发挥足球的育人功能，增进孩子们对于足球的认知和热爱。学校倡导班级联赛、开展足球通讯社小记者选拔等一系列活动，让孩子们在快乐的氛围中踢足球、写足球、感受足球、参与足球，从而更加热爱足球，让足球真正成为提升学生核心素养的有效载体。今后，将增进各校间更为紧密的交流合作，推动校园足球工作在北京的健康发展，并向全国范围的中小学校园足球工作的开展提供有益的示范和参考。《中国足球中长期发展规划》指出，到2020年全国特色足球学校将达到20000所，中小学生经常参加足球运动的人数将超过3000万人。（庞博）,0-9:time;16-31:name;35-65:scale;841-891:purpose,"name: 首届北京市校园足球特色校校长论坛
participant: 中小学足球特色小校长、各区县相关负责人
summary: 无
sub_forum: 无
paper: 无
invites: 北京市264所的中小学足球特色校校长和17区教委主管主任
time: 2017年7月18日
sponsor: 北京市校园足球特色校校长论坛
standpoint: 缺乏社会的关注，阻碍青少年足球的普及力度，一些家长只注重孩子的学习成绩
purpose: 让各位与会在交流中更加明确开展校园足球工作的思路与方向，更加坚定北京足球特色校作为全国性引领与示范的重要地位
scale: 264所中小学足球特色校校长、17区教委主管主任
spokesman: 中关村第三小学副校长郭金贵、北京第二实验小学平谷分校校长周玉江、八一学校体育中心主任戴为
prize: 无
theme: 校园足球特色学校的发展、足球文化带动足球发展、增进孩子们对于足球的认知和热爱",“校园足球；北京市；中小学；校长；论坛；学校；工作；发展；青少年；足球；全国；校”
2017年6月8日，主题为“团队研修修德修能共同成长——吴正宪小学数学教师工作站门头沟分站阶段总结会在门头沟区少年宫举行，各级领导及全市各区干部教师共计300人参会。总结会分为分享交流和课例研讨两个部分，通过专题汇报、读书交流、现场课例展示等形式展现了全区数学教师通过工作站研修不断提升自身专业素养、转变教育教学理念和扎实研究的工作作风。,0-8:time;13-49:name;76-79:scale,"name: 吴正宪小学数学教师工作站门头沟分站阶段总结会
participant: 各级领导及全市各区干部教师共计300人
summary: 通过专题汇报、读书交流、现场课例展示等形式展现了全区数学教师通过工作站研修不断提升自身专业素养、转变教育教学理念和扎实研究的工作作风
sub_forum: 无
paper: 无
invites: 无
time: 2017年6月8日
sponsor: 无
standpoint: 无
purpose: 提升教师专业素养、转变教育教学理念和扎实研究的工作作风
scale: 300人
spokesman: 无
prize: 无
theme: “团队研修修德修能共同成长”",“团队研修；修德修能；共同成长；吴正宪小学；数学教师工作站；门头沟分站；阶段总结会；门头沟区少年宫；全市各区；干部教师；分享交流；课例研讨；专题汇报；读书交流；现场课例展示；提升自身专业素养；转变教育教学理念；研究的工作作风”；
5月26日，北京青年政治学院与北京高校思想政治理论课高精尖创新中心共同举办“改革开放40周年高职院校思想政治理论课教育教学创新发展”研讨会暨北京青年政治学院马克思主义学院揭牌仪式、北京高校思想政治理论课高精尖创新中心北京青年政治学院分中心（以下简称“分中心”）揭牌仪式。分中心是在北京高校思想政治理论课高精尖创新中心领导下，面向高职高专思想政治理论课建设和青年马克思主义者培养的研基地，旨在进一步深入贯彻落实习近平总书记“把高校思想政治理论课的教材编好，把教师队伍建设好，把课讲好”的重要批示精神。分中心将立足北京、辐射京津冀、服务全国高职高专院校，着眼于为高职高专院校思想政治理论课教育教学提供全方位、立体化服务，着力培养青年马克思主义者领军人才和团青工作骨干队伍，建设思想政治理论课全方位育人及师资队伍提升平台、北京市高职高专思想政治理论课指导平台和青年马克思主义者和团青工作骨干培养平台等三大平台。,0-4:time;6-32:sponsor;37-68:name,"name: 改革开放40周年高职院校思想政治理论课教育教学创新发展研讨会暨北京青年政治学院马克思主义学院揭牌仪式、北京高校思想政治理论课高精尖创新中心北京青年政治学院分中心揭牌仪式
participant: 无
summary: 无
sub_forum: 无
paper: 无
invites: 无
time: 5月26日
sponsor: 北京青年政治学院与北京高校思想政治理论课高精尖创新中心共同举办
standpoint: 落实习近平总书记“把高校思想政治理论课的教材编好，把教师队伍建设好，把课讲好”的重要批示精神
purpose: 深入贯彻落实习近平总书记“把高校思想政治理论课的教材编好，把教师队伍建设好，把课讲好”的重要批示精神
scale: 无
spokesman: 无
prize: 无
theme: 改革开放40周年高职院校思想政治理论课教育教学创新发展",“北京青年政治学院；北京高校思想政治理论课高精尖创新中心；研讨会；马克思主义学院；分中心；高职高专思想政治理论课；教育教学；研基地；习近平总书记；教材编好；教师队伍建设好；课讲好；京津冀；立体化服务；青年马克思主义者领军人才；思想政治理论课全方位育人；师资队伍提升平台；指导平台；团青工作骨干培养平台；”
6月15日，由北京师范大学与教育部科技发展中心主办，中国教育和科研计算机网共同承办，赛尔网络有限公司、高德纳咨询（北京）有限公司协办的高等教育国际一流信息化战略研讨会在学校召开。会议主题为“高校信息化主管领导如何制定信息技术战略撬动高校双一流建设”。教育部科技发展中心主任李志民出席会议，北京师范大学党委副书记、纪委书记孙红培出席会议并致辞。国内20多所高校的30多位信息化主管领导及工作负责人参加会议。孙红培指出，北京师范大学高度重视信息化工作，坚持以信息化支撑和服务学校“双一流”建设。“十三五”时期，学校将按照完善机制、强化基础、促进应用、引领变革的思路，实施“互联网+”与教育大数据战略，服务学校综合改革，支撑学校科学决策。李志民作了题为《高校科技创新与“双一流”建设》的主题报告，指出高校科技创新队伍要逐渐发展成为基础研究的主力军，应用研究的重要方面军，高新技术产业化的生力军。,0-4:time;7-22:sponsor;67-82:name;94-124:theme;180-183:scale,"name: 高等教育国际一流信息化战略研讨会
participant: 教育部科技发展中心主任李志民、北京师范大学党委副书记、纪委书记孙红培
summary: 无
sub_forum: 无
paper: 无
invites: 无
time: 6月15日
sponsor: 北京师范大学与教育部科技发展中心
standpoint: 高校信息化主管领导如何制定信息技术战略撬动高校双一流建设
purpose: 服务学校综合改革，支撑学校科学决策
scale: 国内20多所高校的30多位信息化主管领导及工作负责人
spokesman: 李志民
prize: 无
theme: ""高校信息化主管领导如何制定信息技术战略撬动高校双一流建设""","""高等教育；信息化；双一流建设；北京师范大学；教育部科技发展中心；信息技术战略；高校科技创新；"""
10月和12月，人大附小举办“享受七彩课堂四声文化绽放”系列课堂四声文化研讨会。3场研讨会由市教育学会、海淀区教师进修学校主办，人大附小承办，10月31日，数学专场会上，聚焦课堂教学环节，展示8节数学课；教师微论坛围绕“我的四声故事”主题，数学团队7名男教师回顾课堂四声的源起、教师的实践及师生理念与行动的转变历程；数学教育专家吴正宪对现场课进行点评；成立数学专家指导工作室，人大附小领导为首批2名受聘专家颁发聘书。有关领导专家及海淀区小学教师400人参加会议。12月25和26日，先后举办英语、语文课堂四声文化研讨会。分别汇报展示学校英语、语文四声课堂构建阶段成果，展示6节英语课、3节语文现场课，听取专题演讲《如何构建英语课堂四声》，与会专家作点评和微讲座，学校为5名专家颁发指导专家证书。共有400余人参加两次研讨会。,0-6:time;14-38:name;46-60:sponsor;109-116:theme;349-353:scale,"name: 享受七彩课堂四声文化研讨会
participant: 有关领导专家及海淀区小学教师400人
summary: 无
sub_forum: 数学专场会、教师微论坛、英语、语文课堂四声文化研讨会
paper: 无
invites: 无
time: 10月31日、12月25和26日
sponsor: 市教育学会、海淀区教师进修学校
standpoint: 关于课堂教学环节、四声故事、如何构建英语课堂四声等
purpose: 展示学校成果、听取专题演讲、作点评和微讲座
scale: 400余人
spokesman: 数学团队7名男教师、数学教育专家吴正宪、与会专家
prize: 首批2名受聘专家聘书、5名专家指导专家证书
theme: 课堂四声文化研讨会、构建英语课堂四声、我的四声故事","""10月；12月；七彩课堂；四声文化；研讨会；教师进修学校；数学专场；微论坛；教育专家；指导工作室；颁发聘书；海淀区小学教师；英语课堂；语文课堂；专题演讲；指导专家证书""；"
1月17日，怀柔区教委召开全区《中小学生日常行为规范》培训会。会议共三项议程：一是对新修订《规范》的背景、内容及要求进行详细解读；二是进行培育及践行社会主义核心价值观工作部署，特别强调了新修订的《规范》的重要抓手作用；三是部署宣讲工作，要求各校加大宣传力度，做好师生宣讲，持之以恒，抓出实效。会议强调：中小学生日常行为规范是学生成长过程中的关键，核心操作点是行为，落脚点是规范。各校要制定工作落实方案，结合新修订的《规范》要求，认真梳理下学期工作思路，做好教师、学生和家长的宣传培训工作，切实做到坚定方向、立德树人，严字当头、做中规范，持之以恒、久久为功。区教委领导、全区各中小学（含职业学校）校长、德育副校长、德育主任和教科研中心德育教研室成员共计150余人参会。,0-4:time;6-10:sponsor;15-29:name;146-276:summary;278-332:scale,"name: 《中小学生日常行为规范》培训会
participant: 区教委领导、全区各中小学（含职业学校）校长、德育副校长、德育主任和教科研中心德育教研室成员
summary: 无
sub_forum: 无
paper: 无
invites: 无
time: 1月17日
sponsor: 怀柔区教委
standpoint: 强调中小学生日常行为规范对学生成长过程的关键作用
purpose: 解读新修订《规范》背景、内容及要求，进行培育及践行社会主义核心价值观工作部署，部署宣讲工作
scale: 150余人
spokesman: 无
prize: 无
theme: 中小学生日常行为规范的培训会","""1月17日；怀柔区教委；中小学生日常行为规范；培训会；规范；社会主义核心价值观；宣讲工作；学生日常行为规范；核心操作点；工作落实方案；教师；学生；家长；坚定方向；立德树人；严字当头；持之以恒；区教委领导；中小学（含职业学校）校长；德育副校长；德育主任；教科研中心德育教研室；参会"""
11月30日，北京市史家小学通州分校举办“通州区家庭教育研究中心'家校共育'课题中期研讨会”活动。活动共分为3个阶段，第一阶段：听北京市史家小学通州分校的3节主题家长会。第二阶段：德育部门领导和班主任代表分别进行汇报。第三阶段：专家点评，参会的专家和领导对此次活动分别站在家长、学生、教师等不同角度给与评价。通州区家校共育实验校的领导和老师60余人参加活动。（刘艳）,0-5:time;10-17:sponsor;20-45:name;170-173:scale,"name: 通州区家庭教育研究中心'家校共育'课题中期研讨会
participant: 通州区家校共育实验校的领导和老师60余人
summary: 无
sub_forum: 无
paper: 无
invites: 无
time: 11月30日
sponsor: 北京市史家小学通州分校
standpoint: 专家和领导给与活动评价
purpose: 研讨'家校共育'课题中期
scale: 60余人
spokesman: 北京市史家小学通州分校的领导和班主任代表
prize: 无
theme: '家校共育'课题中期研讨会",“北京市史家小学通州分校；家校共育；家长会；德育部门；班主任；专家点评；通州区家校共育实验校；领导；老师”；
7月14至15日，由清华大学主办的第七届世界和平论坛在校举行，论坛主题为“构建安全共同体：平等、公平、正义”。中共中央政治局委员、中央外事工作委员会办公室主任杨洁篪出席开幕式并致辞。来自23个国家的73位外国嘉宾与会发言，人数创历史新高。40多个国家的驻华使节出席论坛开幕式，来自23个国家的70位智库学者与会发言。约270名中外国际关系学者、业界嘉宾受邀出席论坛。,0-7:time;9-13:sponsor;17-25:name;36-54:theme;158-181:scale,"name: 第七届世界和平论坛
participant: 中共中央政治局委员、中央外事工作委员会办公室主任杨洁篪，73位外国嘉宾，40多个国家的驻华使节，70位智库学者，约270名中外国际关系学者、业界嘉宾
summary: 无
sub_forum: 无
paper: 无
invites: 清华大学
time: 7月14至15日
sponsor: 清华大学
standpoint: 构建安全共同体：平等、公平、正义
purpose: 无
scale: 约270名中外国际关系学者、业界嘉宾
spokesman: 中共中央政治局委员、中央外事工作委员会办公室主任杨洁篪
prize: 无
theme: 构建安全共同体：平等、公平、正义",“世界和平论坛；清华大学；安全共同体；平等；公平；正义；中共中央；委员；外事工作委员会；杨洁篪；开幕式；外国嘉宾；使节；智库学者；国际关系学者；业界嘉宾；”
12月8-9日，由北京市教委主办，北京市高教学会金属工艺学研究分会、清华大学与北京建筑大学联合承办的北京市第七届大学生工程训练综合能力竞赛，在北京建筑大学大兴校区成功举行。共有来自17所高校的88支参赛队伍约370余名师生参加了此次竞赛。北京市教委、全国大学生工程训练综合能力竞赛组委会、教育部工程训练教指委、清华大学、北京建筑大学等单位的领导出席开幕式。本次竞赛主题为“无碳小车越障竞赛”，分为“S”和“8”字两种，新增了电控物流小车竞赛，分初赛、复赛和决赛三个阶段。本次大赛将工程文化竞赛单设竞赛奖项，突出了掌握工程类通识文化的重要性，各参赛院校选派3名学生参加工程文化知识竞赛的必答和竞答环节。组委会依据竞赛结果，推荐出获奖名单，报北京市教委。其中一等奖31项，二等奖31项，三等奖31项。同时推荐北京建筑大学、清华大学、中央民族大学、中国农业大学获优秀组织奖。,0-6:time;9-13:sponsor;50-68:name;86-117:scale;186-193:theme;300-346:summary,"name: 北京市第七届大学生工程训练综合能力竞赛
participant: 88支参赛队伍约370余名师生
summary: 无
sub_forum: 无
paper: 无
invites: 无
time: 12月8-9日
sponsor: 北京市教委主办，北京市高教学会金属工艺学研究分会、清华大学与北京建筑大学联合承办
standpoint: 无
purpose: 竞赛主题为“无碳小车越障竞赛”
scale: 88支参赛队伍约370余名师生
spokesman: 无
prize: 一等奖31项，二等奖31项，三等奖31项
theme: 无",“大学生工程训练综合能力竞赛；北京市教委；北京建筑大学；清华大学；竞赛队伍；学生参加；工程文化竞赛；竞赛奖项；工程文化知识竞赛；获奖名单；优秀组织奖；”
